name,abbrv,color,coauthored
Simha Sethumadhavan,S. Sethumadhavan,#00bfff,1
Salvatore Stolfo,S. Stolfo,#00bfff,1
Peter Allen,P. Allen,#ffc0cb,1
Angelos Keromytis,A. Keromytis,#00bfff,1
Junfeng Yang,J. Yang,#00bfff,1
Steven Nowick,S. Nowick,#00bfff,1
Tony Jebara,T. Jebara,#32CD32,1
Gail Kaiser,G. Kaiser,#00bfff,1
Martha Kim,M. Kim,#00bfff,0
Kenneth Ross,K. Ross,#00bfff,1
Stephen Edwards,S. Edwards,#00bfff,1
Tal Malkin,T. Malkin,#ffff00,1
Steven Bellovin,S. Bellovin,#00bfff,1
Rocco Servedio,R. Servedio,#ffff00,1
Dan Rubenstein,D. Rubenstein,#00bfff,1
Clifford Stein,C. Stein,#ffff00,1
Alexandr Andoni,A. Andoni,#ffff00,0
Eitan Grinspun,E. Grinspun,#ffc0cb,1
Shih-Fu Chang,S. Chang,#32CD32,1
Peter Belhumeur,P. Belhumeur,#32CD32,1
Jason Nieh,J. Nieh,#00bfff,1
Suman Jana,S. Jana,#00bfff,1
Luca Carloni,L. Carloni,#00bfff,0
Roxana Geambasu,R. Geambasu,#00bfff,1
Daniel Hsu,D. Hsu,#32CD32,1
Augustin Chaintreau,A. Chaintreau,#00bfff,1
Vishal Misra,V. Misra,#00bfff,1
Henning Schulzrinne,H. Schulzrinne,#00bfff,1
Xi Chen,X. Chen,#ffff00,1
Mihalis Yannakakis,M. Yannakakis,#ffff00,1
Yechiam Yemini,Y. Yemini,#d3d3d3,0
Michael Collins,M. Collins,#32CD32,1
Ansaf Salleb-Aouissi,A. Salleb-Aouissi,#32CD32,0
Luis Gravano,L. Gravano,#00bfff,1
Yaniv Erlich,Y. Erlich,#ffc0cb,0
John Kender,J. Kender,#d3d3d3,1
Kathleen McKeown,K. McKeown,#32CD32,1
Julia Hirschberg,J. Hirschberg,#32CD32,1
David Blei,D. Blei,#32CD32,0
Shree Nayar,S. Nayar,#32CD32,1
Steven Feiner,S. Feiner,#ffc0cb,1
Changxi Zheng,C. Zheng,#ffc0cb,1
Allison Bishop,A. Bishop,#ffff00,0
Vladimir Vapnik,V. Vapnik,#32CD32,0
Alfred Aho,A. Aho,#d3d3d3,1
Itsik Pe'er,I. Pe'er,#ffc0cb,0
Martha Kim,M. Kim,#00bfff,0
Eugene Wu,E. Wu,#00bfff,0
