name,abbrv,color,coauthored
Pang-Ning Tan,P. Tan,#32CD32,1
Jiayu Zhou,J. Zhou,#32CD32,1
Li Xiao,L. Xiao,#ffc0cb,1
Anil Jain,A. Jain,#32CD32,1
William Punch,W. Punch,#d3d3d3,1
Abdol-Hossein Esfahanian,A. Esfahanian,#32CD32,1
Philip McKinley,P. McKinley,#d3d3d3,1
Charles Ofria,C. Ofria,#d3d3d3,1
Betty Cheng,B. Cheng,#00bfff,1
Guoliang Xing,G. Xing,#00bfff,1
Matt Mutka,M. Mutka,#ffc0cb,1
Eric Torng,E. Torng,#00bfff,1
Arun Ross,A. Ross,#32CD32,1
Xiaoming Liu,X. Liu,#32CD32,1
Yiying Tong,Y. Tong,#ffc0cb,1
Richard Enbody,R. Enbody,#d3d3d3,1
Alex Liu,A. Liu,#d3d3d3,1
Yanni Sun,Y. Sun,#ffc0cb,1
Hu Ding,H. Ding,#32CD32,0
Charles Owen,C. Owen,#ffc0cb,0
Wolfgang Banzhaf,W. Banzhaf,#d3d3d3,1
Joyce Chai,J. Chai,#32CD32,0
Arend Hintze,A. Hintze,#d3d3d3,0
Kevin Liu,K. Liu,#ffc0cb,0
Juyang Weng,J. Weng,#d3d3d3,0
Hasan Aktulga,H. Aktulga,#00bfff,0
Laura Dillon,L. Dillon,#00bfff,0
