name,abbrv,color,coauthored
Brian Kernighan,B. Kernighan,#d3d3d3,1
Andrew Appel,A. Appel,#00bfff,1
Bernard Chazelle,B. Chazelle,#ffff00,1
Mona Singh,M. Singh,#ffc0cb,1
Mark Braverman,M. Braverman,#ffff00,1
Kai Li,K. Li,#32CD32,1
Olga Troyanskaya,O. Troyanskaya,#ffc0cb,1
Jaswinder Singh,J. Singh,#d3d3d3,1
David Walker,D. Walker,#00bfff,1
Mark Zhandry,M. Zhandry,#ffff00,0
Barbara Engelhardt,B. Engelhardt,#32CD32,0
Andrea LaPaugh,A. LaPaugh,#d3d3d3,0
Thomas Funkhouser,T. Funkhouser,#ffc0cb,1
Michael Freedman,M. Freedman,#00bfff,1
Edward Felten,E. Felten,#00bfff,1
Jennifer Rexford,J. Rexford,#00bfff,1
Arvind Narayanan,A. Narayanan,#00bfff,1
Aarti Gupta,A. Gupta,#00bfff,0
Nick Feamster,N. Feamster,#00bfff,1
Robert Sedgewick,R. Sedgewick,#d3d3d3,0
Robert Tarjan,R. Tarjan,#ffff00,0
Margaret Martonosi,M. Martonosi,#00bfff,0
David Dobkin,D. Dobkin,#ffc0cb,1
Szymon Rusinkiewicz,S. Rusinkiewicz,#ffc0cb,1
Sanjeev Arora,S. Arora,#ffff00,1
Elad Hazan,E. Hazan,#32CD32,1
David August,D. August,#00bfff,1
Adam Finkelstein,A. Finkelstein,#ffc0cb,1
Kyle Jamieson,K. Jamieson,#00bfff,0
Rebecca Fiebrink,R. Fiebrink,#ffc0cb,1
Zeev Dvir,Z. Dvir,#ffff00,0
