name,abbrv,color,coauthored
Daniel Mossé,D. Mossé,#00bfff,1
Bruce Childers,B. Childers,#00bfff,1
Rami Melhem,R. Melhem,#00bfff,1
Adam Lee,A. Lee,#00bfff,1
Panos Chrysanthis,P. Chrysanthis,#00bfff,1
Taieb Znati,T. Znati,#00bfff,1
Youtao Zhang,Y. Zhang,#00bfff,1
Alexandros Labrinidis,A. Labrinidis,#00bfff,1
Sangyeun Cho,S. Cho,#00bfff,1
Kirk Pruhs,K. Pruhs,#ffff00,1
Jingtao Wang,J. Wang,#ffc0cb,1
Shi-Kuo Chang,S. Chang,#32CD32,1
Diane Litman,D. Litman,#32CD32,1
Rebecca Hwa,R. Hwa,#32CD32,1
Janyce Wiebe,J. Wiebe,#32CD32,1
John Lange,J. Lange,#00bfff,0
Milos Hauskrecht,M. Hauskrecht,#32CD32,0
Donald Chiarulli,D. Chiarulli,#00bfff,0
